ACTIVITY         LOCATION  TYPE      PLACE     
Snack            Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Grooming         Basin     PIR       Bathroom  
Dinner           Door      PIR       Kitchen   
Dinner           Cupboard  Magnetic  Kitchen   
Dinner           Door      PIR       Kitchen   
Grooming         Basin     PIR       Bathroom  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Toileting        Door      PIR       Bedroom   
Toileting        Toilet    Flush     Bathroom  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Grooming         Basin     PIR       Bathroom  
Sleeping         Bed       Pressure  Bedroom   
Breakfast        Door      PIR       Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Microwave Electric  Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Door      PIR       Kitchen   
Grooming         Basin     PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Snack            Door      PIR       Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Door      PIR       Kitchen   
Snack            Door      PIR       Kitchen   
Snack            Door      PIR       Kitchen   
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Snack            Door      PIR       Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Door      PIR       Kitchen   
Toileting        Toilet    Flush     Bathroom  
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Fridge    Magnetic  Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Toileting        Toilet    Flush     Bathroom  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Snack            Door      PIR       Kitchen   
Snack            Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Snack            Door      PIR       Kitchen   
Snack            Door      PIR       Kitchen   
Snack            Door      PIR       Kitchen   
Toileting        Toilet    Flush     Bathroom  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Bedroom   
Spare_Time/TV    Door      PIR       Bedroom   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Dinner           Door      PIR       Kitchen   
Dinner           Microwave Electric  Kitchen   
Dinner           Door      PIR       Kitchen   
Grooming         Basin     PIR       Bathroom  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Grooming         Basin     PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Toileting        Door      PIR       Bedroom   
Sleeping         Bed       Pressure  Bedroom   
Grooming         Basin     PIR       Bathroom  
Sleeping         Door      PIR       Bedroom   
Sleeping         Bed       Pressure  Bedroom   
Sleeping         Door      PIR       Bedroom   
Toileting        Toilet    Flush     Bathroom  
Breakfast        Door      PIR       Bedroom   
Breakfast        Door      PIR       Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Microwave Electric  Kitchen   
Breakfast        Microwave Electric  Kitchen   
Breakfast        Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Bedroom   
Spare_Time/TV    Door      PIR       Bedroom   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Breakfast        Door      PIR       Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Door      PIR       Kitchen   
Breakfast        Door      PIR       Kitchen   
Breakfast        Cupboard  Magnetic  Kitchen   
Breakfast        Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Grooming         Basin     PIR       Bathroom  
Showering        Shower    PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Bedroom   
Spare_Time/TV    Door      PIR       Bedroom   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Toileting        Toilet    Flush     Bathroom  
Toileting        Basin     PIR       Bathroom  
Grooming         Door      PIR       Living    
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Dinner           Door      PIR       Kitchen   
Dinner           Microwave Electric  Kitchen   
Dinner           Cupboard  Magnetic  Kitchen   
Dinner           Door      PIR       Kitchen   
Dinner           Door      PIR       Living    
Dinner           Door      PIR       Living    
Dinner           Door      PIR       Kitchen   
Dinner           Microwave Electric  Kitchen   
Dinner           Fridge    Magnetic  Kitchen   
Dinner           Fridge    Magnetic  Kitchen   
Dinner           Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Snack            Door      PIR       Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Grooming         Basin     PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Toileting        Basin     PIR       Bathroom  
Grooming         Door      PIR       Bedroom   
Sleeping         Bed       Pressure  Bedroom   
Sleeping         Door      PIR       Bedroom   
Sleeping         Door      PIR       Bedroom   
Sleeping         Bed       Pressure  Bedroom   
Sleeping         Door      PIR       Bedroom   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Sleeping         Door      PIR       Bedroom   
Sleeping         Bed       Pressure  Bedroom   
Sleeping         Door      PIR       Bedroom   
Toileting        Toilet    Flush     Bathroom  
Sleeping         Door      PIR       Bedroom   
Sleeping         Bed       Pressure  Bedroom   
Sleeping         Door      PIR       Bedroom   
Breakfast        Door      PIR       Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Microwave Electric  Kitchen   
Breakfast        Door      PIR       Kitchen   
Toileting        Toilet    Flush     Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Showering        Shower    PIR       Bathroom  
Snack            Door      PIR       Kitchen   
Snack            Door      PIR       Kitchen   
Spare_Time/TV    Seat      Pressure  Living    
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Spare_Time/TV    Seat      Pressure  Living    
Lunch            Door      PIR       Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Fridge    Magnetic  Kitchen   
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Fridge    Magnetic  Kitchen   
Lunch            Door      PIR       Kitchen   
Toileting        Toilet    Flush     Bathroom  
Grooming         Basin     PIR       Bathroom  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Snack            Door      PIR       Kitchen   
Snack            Door      PIR       Kitchen   
Dinner           Door      PIR       Kitchen   
Dinner           Microwave Electric  Kitchen   
Dinner           Cupboard  Magnetic  Kitchen   
Dinner           Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Grooming         Basin     PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Toileting        Basin     PIR       Bathroom  
Sleeping         Door      PIR       Bedroom   
Sleeping         Bed       Pressure  Bedroom   
Sleeping         Door      PIR       Bedroom   
Breakfast        Door      PIR       Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Microwave Electric  Kitchen   
Breakfast        Door      PIR       Kitchen   
Showering        Shower    PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Door      PIR       Living    
Snack            Door      PIR       Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Door      PIR       Kitchen   
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Kitchen   
Toileting        Toilet    Flush     Bathroom  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Toileting        Toilet    Flush     Bathroom  
Snack            Door      PIR       Kitchen   
Snack            Microwave Electric  Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Grooming         Basin     PIR       Bathroom  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Grooming         Basin     PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Grooming         Basin     PIR       Bathroom  
Sleeping         Door      PIR       Bedroom   
Sleeping         Bed       Pressure  Bedroom   
Sleeping         Door      PIR       Bedroom   
Toileting        Toilet    Flush     Bathroom  
Breakfast        Door      PIR       Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Microwave Electric  Kitchen   
Breakfast        Door      PIR       Kitchen   
Showering        Shower    PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Door      PIR       Bedroom   
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Grooming         Basin     PIR       Bathroom  
Grooming         Door      PIR       Bedroom   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Toileting        Toilet    Flush     Bathroom  
Toileting        Basin     PIR       Bathroom  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Snack            Door      PIR       Kitchen   
Snack            Microwave Electric  Kitchen   
Snack            Door      PIR       Kitchen   
Snack            Door      PIR       Living    
Snack            Door      PIR       Living    
Snack            Door      PIR       Kitchen   
Snack            Microwave Electric  Kitchen   
Snack            Door      PIR       Kitchen   
Toileting        Toilet    Flush     Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Sleeping         Door      PIR       Bedroom   
Sleeping         Bed       Pressure  Bedroom   
Sleeping         Door      PIR       Bedroom   
Toileting        Toilet    Flush     Bathroom  
Breakfast        Door      PIR       Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Microwave Electric  Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Door      PIR       Kitchen   
Showering        Shower    PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Lunch            Door      PIR       Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Kitchen   
Snack            Door      PIR       Kitchen   
Snack            Door      PIR       Kitchen   
Toileting        Toilet    Flush     Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Dinner           Door      PIR       Kitchen   
Dinner           Fridge    Magnetic  Kitchen   
Dinner           Fridge    Magnetic  Kitchen   
Dinner           Door      PIR       Kitchen   
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Snack            Door      PIR       Kitchen   
Snack            Microwave Electric  Kitchen   
Snack            Door      PIR       Kitchen   
Grooming         Basin     PIR       Bathroom  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Toileting        Toilet    Flush     Bathroom  
Sleeping         Bed       Pressure  Bedroom   
Sleeping         Door      PIR       Bedroom   
Toileting        Toilet    Flush     Bathroom  
Breakfast        Door      PIR       Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Microwave Electric  Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Showering        Shower    PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Grooming         Basin     PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Toileting        Toilet    Flush     Bathroom  
Snack            Door      PIR       Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Microwave Electric  Kitchen   
Snack            Microwave Electric  Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Dinner           Door      PIR       Kitchen   
Dinner           Microwave Electric  Kitchen   
Dinner           Fridge    Magnetic  Kitchen   
Dinner           Cupboard  Magnetic  Kitchen   
Dinner           Door      PIR       Kitchen   
Grooming         Basin     PIR       Bathroom  
Snack            Door      PIR       Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Toileting        Toilet    Flush     Bathroom  
Sleeping         Door      PIR       Bedroom   
Sleeping         Bed       Pressure  Bedroom   
Sleeping         Door      PIR       Bedroom   
Toileting        Toilet    Flush     Bathroom  
Breakfast        Door      PIR       Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Door      PIR       Kitchen   
Grooming         Basin     PIR       Bathroom  
Grooming         Basin     PIR       Bathroom  
Snack            Door      PIR       Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Toileting        Toilet    Flush     Bathroom  
Snack            Door      PIR       Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Door      PIR       Kitchen   
Snack            Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Fridge    Magnetic  Kitchen   
Lunch            Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Toileting        Toilet    Flush     Bathroom  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Grooming         Basin     PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Toileting        Basin     PIR       Bathroom  
Sleeping         Door      PIR       Bedroom   
Sleeping         Bed       Pressure  Bedroom   
Sleeping         Door      PIR       Bedroom   
Toileting        Toilet    Flush     Bathroom  
Breakfast        Door      PIR       Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Fridge    Magnetic  Kitchen   
Breakfast        Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Grooming         Basin     PIR       Bathroom  
Toileting        Toilet    Flush     Bathroom  
Grooming         Basin     PIR       Bathroom  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Cupboard  Magnetic  Kitchen   
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Living    
Lunch            Door      PIR       Kitchen   
Lunch            Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Snack            Door      PIR       Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Door      PIR       Kitchen   
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Seat      Pressure  Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Spare_Time/TV    Door      PIR       Living    
Toileting        Toilet    Flush     Bathroom  
Leaving          Maindoor  Magnetic  Entrance  
Leaving          Maindoor  Magnetic  Entrance  
Snack            Door      PIR       Kitchen   
Snack            Fridge    Magnetic  Kitchen   
Snack            Door      PIR       Kitchen   
Grooming         Basin     PIR       Bathroom  
Sleeping         Door      PIR       Bedroom   
